sequence_number,score,value
591,62.50,01:26.92
592,62.46,01:26.93
593,62.42,01:26.94
594,62.38,01:26.95
595,62.35,01:26.96
596,62.31,01:26.97
597,62.27,01:26.98
598,62.23,01:26.99
599,62.19,01:27.00
600,62.15,01:27.01
601,62.12,01:27.02
602,62.08,01:27.03
603,62.04,01:27.04
604,62.00,01:27.05
605,61.96,01:27.06
606,61.92,01:27.07
607,61.88,01:27.08
608,61.85,01:27.09
609,61.81,01:27.10
610,61.77,01:27.11
611,61.73,01:27.12
612,61.69,01:27.13
613,61.65,01:27.14
614,61.62,01:27.15
615,61.58,01:27.16
616,61.54,01:27.17
617,61.50,01:27.18
618,61.46,01:27.19
619,61.42,01:27.20
620,61.38,01:27.21
621,61.35,01:27.22
622,61.31,01:27.23
623,61.27,01:27.24
624,61.23,01:27.25
625,61.19,01:27.26
626,61.15,01:27.27
627,61.12,01:27.28
628,61.08,01:27.29
629,61.04,01:27.30
630,61.00,01:27.31
631,60.96,01:27.32
632,60.92,01:27.33
633,60.88,01:27.34
634,60.85,01:27.35
635,60.81,01:27.36
636,60.77,01:27.37
637,60.73,01:27.38
638,60.69,01:27.39
639,60.65,01:27.40
640,60.62,01:27.41
641,60.58,01:27.42
642,60.54,01:27.43
643,60.50,01:27.44
644,60.46,01:27.45
645,60.42,01:27.46
646,60.38,01:27.47
647,60.35,01:27.48
648,60.31,01:27.49
649,60.27,01:27.50
650,60.23,01:27.51
651,60.19,01:27.52
652,60.15,01:27.53
653,60.12,01:27.54
654,60.08,01:27.55
655,60.04,01:27.56
656,60.00,01:27.57
657,59.96,01:27.58
658,59.92,01:27.59
659,59.88,01:27.60
660,59.84,01:27.61
661,59.80,01:27.62
662,59.76,01:27.63
663,59.72,01:27.64
664,59.68,01:27.65
665,59.64,01:27.66
666,59.60,01:27.67
667,59.56,01:27.68
668,59.52,01:27.69
669,59.48,01:27.70
670,59.44,01:27.71
671,59.40,01:27.72
672,59.35,01:27.73
673,59.31,01:27.74
674,59.27,01:27.75
675,59.23,01:27.76
676,59.19,01:27.77
677,59.15,01:27.78
678,59.11,01:27.79
679,59.07,01:27.80
680,59.03,01:27.81
681,58.99,01:27.82
682,58.95,01:27.83
683,58.91,01:27.84
684,58.87,01:27.85
685,58.83,01:27.86
686,58.79,01:27.87
687,58.75,01:27.88
688,58.71,01:27.89
689,58.67,01:27.90
690,58.63,01:27.91
691,58.59,01:27.92
692,58.55,01:27.93
693,58.51,01:27.94
694,58.47,01:27.95
695,58.43,01:27.96
696,58.39,01:27.97
697,58.35,01:27.98
698,58.31,01:27.99
699,58.27,01:28.00
700,58.23,01:28.01
701,58.19,01:28.02
702,58.15,01:28.03
703,47.60,01:30.38
704,47.55,01:30.39
705,47.50,01:30.40
706,47.44,01:30.41
707,47.38,01:30.42
708,47.31,01:30.43
709,47.25,01:30.44
710,47.19,01:30.45
711,47.13,01:30.46
712,47.06,01:30.47
713,47.00,01:30.48
714,46.94,01:30.49
715,46.88,01:30.50
716,46.81,01:30.51
717,46.75,01:30.52
718,46.69,01:30.53
719,46.63,01:30.54
720,46.56,01:30.55
721,46.50,01:30.56
722,46.44,01:30.57
723,46.38,01:30.58
724,46.31,01:30.59
725,46.25,01:30.60
726,46.19,01:30.61
727,46.13,01:30.62
728,46.06,01:30.63
729,46.00,01:30.64
730,45.94,01:30.65
731,45.88,01:30.66
732,45.81,01:30.67
733,45.75,01:30.68
734,45.69,01:30.69
735,45.63,01:30.70
736,45.56,01:30.71
737,45.50,01:30.72
738,45.44,01:30.73
739,45.38,01:30.74
740,45.31,01:30.75
741,45.25,01:30.76
742,45.19,01:30.77
743,45.13,01:30.78
744,45.06,01:30.79
745,45.00,01:30.80
746,44.95,01:30.81
747,44.91,01:30.82
748,44.86,01:30.83
749,44.81,01:30.84
