sequence_number,score,value
350,72.05,01:14.26
351,99.36,01:14.27
352,72.01,01:14.27
353,99.33,01:14.28
354,71.97,01:14.28
355,99.31,01:14.29
356,71.93,01:14.29
357,99.29,01:14.30
358,71.89,01:14.30
359,99.26,01:14.31
360,71.84,01:14.31
361,99.24,01:14.32
362,71.80,01:14.32
363,99.21,01:14.33
364,71.76,01:14.33
365,99.19,01:14.34
366,71.72,01:14.34
367,99.17,01:14.35
368,71.68,01:14.35
369,99.14,01:14.36
370,71.64,01:14.36
371,99.12,01:14.37
372,71.60,01:14.37
373,99.10,01:14.38
374,71.56,01:14.38
375,99.07,01:14.39
376,71.52,01:14.39
377,99.05,01:14.40
378,71.48,01:14.40
379,99.02,01:14.41
380,71.43,01:14.41
381,99.00,01:14.42
382,71.39,01:14.42
383,98.98,01:14.43
384,71.35,01:14.43
385,98.95,01:14.44
386,71.31,01:14.44
387,98.93,01:14.45
388,71.27,01:14.45
389,98.90,01:14.46
390,71.23,01:14.46
391,98.88,01:14.47
392,71.19,01:14.47
393,98.86,01:14.48
394,71.15,01:14.48
395,98.83,01:14.49
396,71.11,01:14.49
397,98.81,01:14.50
398,71.07,01:14.50
399,98.79,01:14.51
400,71.02,01:14.51
401,98.76,01:14.52
402,70.98,01:14.52
403,98.74,01:14.53
404,70.94,01:14.53
405,98.71,01:14.54
406,70.90,01:14.54
407,98.69,01:14.55
408,70.86,01:14.55
409,98.67,01:14.56
410,70.82,01:14.56
411,98.64,01:14.57
412,70.78,01:14.57
413,98.62,01:14.58
414,70.74,01:14.58
415,98.60,01:14.59
416,70.70,01:14.59
417,98.57,01:14.60
418,70.66,01:14.60
419,98.55,01:14.61
420,70.61,01:14.61
421,98.52,01:14.62
422,70.57,01:14.62
423,98.50,01:14.63
424,70.53,01:14.63
425,98.48,01:14.64
426,70.49,01:14.64
427,98.45,01:14.65
428,70.45,01:14.65
429,98.43,01:14.66
430,70.41,01:14.66
431,98.40,01:14.67
432,70.37,01:14.67
433,98.38,01:14.68
434,70.33,01:14.68
435,98.36,01:14.69
436,70.29,01:14.69
437,98.33,01:14.70
438,70.25,01:14.70
439,98.31,01:14.71
440,70.20,01:14.71
441,98.29,01:14.72
442,70.16,01:14.72
443,98.26,01:14.73
444,70.12,01:14.73
445,98.24,01:14.74
446,70.08,01:14.74
447,98.21,01:14.75
448,70.04,01:14.75
449,98.19,01:14.76
450,70.00,01:14.76
451,98.17,01:14.77
452,69.96,01:14.77
453,98.14,01:14.78
454,69.92,01:14.78
455,98.12,01:14.79
456,69.87,01:14.79
457,98.10,01:14.80
458,69.83,01:14.80
459,98.07,01:14.81
460,69.79,01:14.81
461,98.05,01:14.82
462,69.75,01:14.82
463,98.02,01:14.83
464,69.70,01:14.83
465,98.00,01:14.84
466,69.66,01:14.84
467,97.98,01:14.85
468,69.62,01:14.85
469,97.95,01:14.86
470,69.58,01:14.86
471,97.93,01:14.87
472,69.53,01:14.87
473,97.90,01:14.88
474,69.49,01:14.88
475,97.88,01:14.89
476,69.45,01:14.89
477,97.86,01:14.90
478,69.41,01:14.90
479,97.83,01:14.91
480,69.36,01:14.91
481,97.81,01:14.92
482,69.32,01:14.92
483,97.79,01:14.93
484,69.28,01:14.93
485,97.76,01:14.94
486,69.24,01:14.94
487,97.74,01:14.95
488,69.19,01:14.95
489,97.71,01:14.96
490,69.15,01:14.96
491,97.69,01:14.97
492,69.11,01:14.97
493,97.67,01:14.98
494,69.07,01:14.98
495,97.64,01:14.99
496,69.03,01:14.99
497,97.62,01:15.00
498,68.98,01:15.00
499,97.60,01:15.01
500,68.94,01:15.01
501,97.57,01:15.02
502,68.90,01:15.02
503,97.55,01:15.03
504,68.86,01:15.03
505,97.52,01:15.04
506,68.81,01:15.04
507,97.50,01:15.05
508,68.77,01:15.05
509,97.48,01:15.06
510,68.73,01:15.06
511,97.45,01:15.07
512,68.69,01:15.07
513,97.43,01:15.08
514,68.64,01:15.08
515,97.40,01:15.09
516,68.60,01:15.09
517,97.38,01:15.10
518,68.56,01:15.10
519,97.35,01:15.11
520,68.52,01:15.11
521,97.33,01:15.12
522,68.47,01:15.12
523,97.30,01:15.13
524,68.43,01:15.13
525,97.28,01:15.14
526,68.39,01:15.14
527,97.25,01:15.15
528,68.35,01:15.15
529,97.23,01:15.16
530,68.31,01:15.16
531,97.21,01:15.17
532,68.26,01:15.17
533,97.18,01:15.18
534,68.22,01:15.18
535,97.16,01:15.19
536,68.18,01:15.19
537,97.13,01:15.20
538,68.14,01:15.20
539,97.11,01:15.21
540,68.09,01:15.21
541,97.08,01:15.22
542,68.05,01:15.22
543,97.06,01:15.23
544,68.01,01:15.23
545,97.03,01:15.24
546,67.97,01:15.24
547,97.01,01:15.25
548,67.92,01:15.25
549,96.99,01:15.26
550,67.88,01:15.26
551,96.96,01:15.27
552,67.84,01:15.27
553,96.94,01:15.28
554,67.80,01:15.28
555,96.91,01:15.29
556,67.75,01:15.29
557,96.89,01:15.30
558,67.71,01:15.30
559,96.86,01:15.31
560,67.67,01:15.31
561,96.84,01:15.32
562,67.63,01:15.32
563,96.81,01:15.33
564,67.58,01:15.33
565,96.79,01:15.34
566,67.54,01:15.34
567,96.76,01:15.35
568,67.50,01:15.35
569,96.74,01:15.36
570,67.46,01:15.36
571,96.72,01:15.37
572,67.41,01:15.37
573,96.69,01:15.38
574,67.37,01:15.38
575,96.67,01:15.39
576,67.32,01:15.39
577,96.64,01:15.40
578,67.28,01:15.40
579,96.62,01:15.41
580,67.24,01:15.41
581,96.59,01:15.42
582,67.19,01:15.42
583,96.57,01:15.43
584,67.15,01:15.43
585,96.54,01:15.44
586,67.11,01:15.44
587,96.52,01:15.45
588,67.06,01:15.45
589,96.50,01:15.46
590,67.02,01:15.46
591,96.47,01:15.47
592,66.97,01:15.47
593,96.45,01:15.48
594,66.93,01:15.48
595,96.42,01:15.49
596,66.89,01:15.49
597,96.40,01:15.50
598,66.84,01:15.50
599,96.37,01:15.51
600,66.80,01:15.51
601,96.35,01:15.52
602,66.75,01:15.52
603,96.32,01:15.53
604,66.71,01:15.53
605,96.30,01:15.54
606,66.67,01:15.54
607,96.27,01:15.55
608,66.62,01:15.55
609,96.25,01:15.56
610,66.58,01:15.56
611,96.23,01:15.57
612,66.54,01:15.57
613,96.20,01:15.58
614,66.49,01:15.58
615,96.18,01:15.59
616,66.45,01:15.59
617,96.15,01:15.60
618,66.40,01:15.60
619,96.13,01:15.61
620,66.36,01:15.61
621,96.10,01:15.62
622,66.32,01:15.62
623,96.08,01:15.63
624,66.27,01:15.63
625,96.05,01:15.64
626,66.23,01:15.64
627,96.03,01:15.65
