sequence_number,score,value
717,64.30,01:33.84
718,64.26,01:33.85
719,64.22,01:33.86
720,64.18,01:33.87
721,64.14,01:33.88
722,64.10,01:33.89
723,64.06,01:33.90
724,64.02,01:33.91
725,63.98,01:33.92
726,63.95,01:33.93
727,63.91,01:33.94
728,63.87,01:33.95
729,63.83,01:33.96
730,63.79,01:33.97
731,63.75,01:33.98
732,63.71,01:33.99
733,63.67,01:34.00
734,63.63,01:34.01
735,63.59,01:34.02
736,63.55,01:34.03
737,63.52,01:34.04
738,63.48,01:34.05
739,63.44,01:34.06
740,63.40,01:34.07
741,63.36,01:34.08
742,63.32,01:34.09
743,63.28,01:34.10
744,63.24,01:34.11
745,63.20,01:34.12
746,63.16,01:34.13
747,63.12,01:34.14
748,63.09,01:34.15
749,63.05,01:34.16
750,63.01,01:34.17
751,62.97,01:34.18
752,62.93,01:34.19
753,62.89,01:34.20
754,62.85,01:34.21
755,62.81,01:34.22
756,62.77,01:34.23
757,62.73,01:34.24
758,62.70,01:34.25
759,62.66,01:34.26
760,62.62,01:34.27
761,62.58,01:34.28
762,62.54,01:34.29
763,62.50,01:34.30
764,62.46,01:34.31
765,62.42,01:34.32
766,62.38,01:34.33
767,62.34,01:34.34
768,62.30,01:34.35
769,62.26,01:34.36
770,62.22,01:34.37
771,62.18,01:34.38
772,62.14,01:34.39
773,62.10,01:34.40
774,62.06,01:34.41
775,62.02,01:34.42
776,61.98,01:34.43
777,61.94,01:34.44
778,61.90,01:34.45
779,61.85,01:34.46
780,61.81,01:34.47
781,61.77,01:34.48
782,61.73,01:34.49
783,61.69,01:34.50
784,61.65,01:34.51
785,61.61,01:34.52
786,61.57,01:34.53
787,61.53,01:34.54
788,61.49,01:34.55
789,61.45,01:34.56
790,61.41,01:34.57
791,61.37,01:34.58
792,61.33,01:34.59
793,61.29,01:34.60
794,61.25,01:34.61
795,61.21,01:34.62
796,61.17,01:34.63
797,61.13,01:34.64
798,61.09,01:34.65
799,61.05,01:34.66
800,61.01,01:34.67
801,60.97,01:34.68
802,60.93,01:34.69
803,60.89,01:34.70
804,60.85,01:34.71
805,60.81,01:34.72
806,60.77,01:34.73
807,60.73,01:34.74
808,60.69,01:34.75
809,60.65,01:34.76
810,60.60,01:34.77
811,60.56,01:34.78
812,60.52,01:34.79
813,60.48,01:34.80
814,60.44,01:34.81
815,60.40,01:34.82
816,60.36,01:34.83
817,60.32,01:34.84
818,60.28,01:34.85
819,60.24,01:34.86
820,60.20,01:34.87
821,60.16,01:34.88
822,60.12,01:34.89
823,60.08,01:34.90
824,60.04,01:34.91
825,60.00,01:34.92
826,59.96,01:34.93
827,59.92,01:34.94
828,59.87,01:34.95
829,59.83,01:34.96
830,59.79,01:34.97
831,59.75,01:34.98
832,59.70,01:34.99
833,59.66,01:35.00
834,59.62,01:35.01
835,59.58,01:35.02
836,59.53,01:35.03
837,59.49,01:35.04
838,59.45,01:35.05
839,59.41,01:35.06
840,59.36,01:35.07
841,59.32,01:35.08
842,59.28,01:35.09
843,59.24,01:35.10
844,59.19,01:35.11
845,59.15,01:35.12
846,59.11,01:35.13
847,59.07,01:35.14
848,59.03,01:35.15
849,58.98,01:35.16
850,58.94,01:35.17
851,58.90,01:35.18
852,58.86,01:35.19
853,58.81,01:35.20
854,58.77,01:35.21
855,58.73,01:35.22
856,58.69,01:35.23
857,58.64,01:35.24
858,58.60,01:35.25
859,58.56,01:35.26
860,58.52,01:35.27
861,58.47,01:35.28
862,58.43,01:35.29
863,58.39,01:35.30
864,58.35,01:35.31
865,58.31,01:35.32
866,58.26,01:35.33
867,58.22,01:35.34
868,58.18,01:35.35
869,58.14,01:35.36
870,58.09,01:35.37
871,58.05,01:35.38
872,58.01,01:35.39
873,57.97,01:35.40
874,57.92,01:35.41
875,57.88,01:35.42
876,57.84,01:35.43
877,57.80,01:35.44
878,57.75,01:35.45
879,57.71,01:35.46
880,57.67,01:35.47
881,57.63,01:35.48
882,57.58,01:35.49
883,57.54,01:35.50
884,57.50,01:35.51
885,57.46,01:35.52
886,57.41,01:35.53
887,57.37,01:35.54
888,57.32,01:35.55
889,57.28,01:35.56
890,57.23,01:35.57
891,57.19,01:35.58
892,57.14,01:35.59
893,57.10,01:35.60
894,57.05,01:35.61
895,57.01,01:35.62
896,56.96,01:35.63
897,56.92,01:35.64
898,56.87,01:35.65
899,56.83,01:35.66
900,56.79,01:35.67
901,56.74,01:35.68
902,56.70,01:35.69
903,56.65,01:35.70
904,56.61,01:35.71
905,56.56,01:35.72
906,56.52,01:35.73
907,56.47,01:35.74
908,56.43,01:35.75
909,56.38,01:35.76
910,56.34,01:35.77
911,56.29,01:35.78
912,56.25,01:35.79
913,56.21,01:35.80
914,56.16,01:35.81
915,56.12,01:35.82
916,56.07,01:35.83
917,56.03,01:35.84
918,55.98,01:35.85
919,55.94,01:35.86
920,55.89,01:35.87
921,55.85,01:35.88
922,55.80,01:35.89
923,55.76,01:35.90
924,55.71,01:35.91
925,55.67,01:35.92
926,55.62,01:35.93
927,55.58,01:35.94
928,55.54,01:35.95
929,55.49,01:35.96
930,55.45,01:35.97
931,55.40,01:35.98
932,55.36,01:35.99
933,55.31,01:36.00
934,55.27,01:36.01
935,55.22,01:36.02
936,55.18,01:36.03
937,43.24,01:38.38
938,43.18,01:38.39
939,43.12,01:38.40
940,43.07,01:38.41
941,43.01,01:38.42
942,42.95,01:38.43
943,42.90,01:38.44
944,42.84,01:38.45
945,42.78,01:38.46
946,42.73,01:38.47
947,42.67,01:38.48
948,42.61,01:38.49
949,42.56,01:38.50
950,42.50,01:38.51
951,42.44,01:38.52
952,42.38,01:38.53
953,42.32,01:38.54
954,42.26,01:38.55
955,42.20,01:38.56
956,42.13,01:38.57
957,42.07,01:38.58
958,42.01,01:38.59
959,41.95,01:38.60
960,41.89,01:38.61
961,41.83,01:38.62
962,41.77,01:38.63
963,41.71,01:38.64
964,41.65,01:38.65
965,41.59,01:38.66
966,41.52,01:38.67
967,41.46,01:38.68
968,41.40,01:38.69
969,41.34,01:38.70
970,41.28,01:38.71
971,41.22,01:38.72
972,41.16,01:38.73
973,41.10,01:38.74
974,41.04,01:38.75
975,40.98,01:38.76
976,40.91,01:38.77
977,40.85,01:38.78
978,40.79,01:38.79
979,40.73,01:38.80
980,40.67,01:38.81
981,40.61,01:38.82
982,40.55,01:38.83
983,40.49,01:38.84
984,40.43,01:38.85
985,40.37,01:38.86
986,40.30,01:38.87
987,40.24,01:38.88
988,40.18,01:38.89
989,40.12,01:38.90
990,40.06,01:38.91
991,40.00,01:38.92
992,39.93,01:38.93
993,39.87,01:38.94
994,39.80,01:38.95
995,39.74,01:38.96
996,39.67,01:38.97
997,39.61,01:38.98
998,39.54,01:38.99
999,39.47,01:39.00
1000,39.41,01:39.01
1001,39.34,01:39.02
1002,39.28,01:39.03
1003,39.21,01:39.04
1004,39.14,01:39.05
1005,39.08,01:39.06
1006,39.01,01:39.07
1007,38.95,01:39.08
1008,38.88,01:39.09
1009,38.82,01:39.10
1010,38.75,01:39.11
1011,38.68,01:39.12
1012,38.62,01:39.13
1013,38.55,01:39.14
1014,38.49,01:39.15
1015,38.42,01:39.16
1016,38.36,01:39.17
1017,38.29,01:39.18
1018,38.22,01:39.19
1019,38.16,01:39.20
1020,38.09,01:39.21
1021,38.03,01:39.22
1022,37.96,01:39.23
1023,37.89,01:39.24
1024,37.83,01:39.25
1025,37.76,01:39.26
1026,37.70,01:39.27
1027,37.63,01:39.28
1028,37.57,01:39.29
1029,37.50,01:39.30
1030,37.43,01:39.31
1031,37.36,01:39.32
1032,37.29,01:39.33
1033,37.22,01:39.34
1034,37.15,01:39.35
1035,37.08,01:39.36
1036,37.01,01:39.37
1037,36.94,01:39.38
1038,36.87,01:39.39
1039,36.81,01:39.40
1040,36.74,01:39.41
1041,36.67,01:39.42
1042,36.60,01:39.43
1043,36.53,01:39.44
1044,36.46,01:39.45
1045,36.39,01:39.46
1046,36.32,01:39.47
1047,36.25,01:39.48
1048,36.18,01:39.49
1049,36.11,01:39.50
1050,36.04,01:39.51
1051,35.97,01:39.52
1052,35.90,01:39.53
1053,35.83,01:39.54
1054,35.76,01:39.55
1055,35.69,01:39.56
1056,35.62,01:39.57
1057,35.56,01:39.58
1058,35.49,01:39.59
1059,35.42,01:39.60
1060,35.35,01:39.61
1061,35.28,01:39.62
1062,35.21,01:39.63
1063,35.14,01:39.64
1064,35.07,01:39.65
1065,35.00,01:39.66
1066,34.92,01:39.67
1067,34.85,01:39.68
1068,34.77,01:39.69
1069,34.70,01:39.70
1070,34.62,01:39.71
1071,34.55,01:39.72
1072,34.47,01:39.73
1073,34.39,01:39.74
1074,34.32,01:39.75
1075,34.24,01:39.76
1076,34.17,01:39.77
1077,34.09,01:39.78
1078,34.02,01:39.79
1079,33.94,01:39.80
1080,33.86,01:39.81
1081,33.79,01:39.82
1082,33.71,01:39.83
1083,33.64,01:39.84
1084,33.56,01:39.85
1085,33.48,01:39.86
1086,33.41,01:39.87
1087,33.33,01:39.88
1088,33.26,01:39.89
1089,33.18,01:39.90
1090,33.11,01:39.91
1091,33.03,01:39.92
1092,32.95,01:39.93
1093,32.88,01:39.94
1094,32.80,01:39.95
1095,32.73,01:39.96
1096,32.65,01:39.97
1097,32.58,01:39.98
1098,32.50,01:39.99
1099,32.42,01:40.00
1100,32.34,01:40.01
1101,32.26,01:40.02
1102,32.18,01:40.03
1103,32.10,01:40.04
1104,32.02,01:40.05
1105,31.94,01:40.06
1106,31.85,01:40.07
1107,31.77,01:40.08
1108,31.69,01:40.09
1109,31.61,01:40.10
1110,31.53,01:40.11
1111,31.45,01:40.12
1112,31.37,01:40.13
1113,31.29,01:40.14
1114,31.21,01:40.15
1115,31.13,01:40.16
1116,31.05,01:40.17
1117,30.97,01:40.18
1118,30.89,01:40.19
1119,30.81,01:40.20
1120,30.73,01:40.21
1121,30.65,01:40.22
1122,30.56,01:40.23
1123,30.48,01:40.24
1124,30.40,01:40.25
1125,30.32,01:40.26
1126,30.24,01:40.27
1127,30.16,01:40.28
1128,30.08,01:40.29
1129,30.00,01:40.30
1130,29.91,01:40.31
1131,29.82,01:40.32
1132,29.73,01:40.33
1133,29.64,01:40.34
1134,29.55,01:40.35
1135,29.46,01:40.36
1136,29.37,01:40.37
1137,29.29,01:40.38
1138,29.20,01:40.39
1139,29.11,01:40.40
1140,29.02,01:40.41
1141,28.93,01:40.42
1142,28.84,01:40.43
1143,28.75,01:40.44
1144,28.66,01:40.45
1145,28.57,01:40.46
1146,28.48,01:40.47
1147,28.39,01:40.48
1148,28.30,01:40.49
1149,28.21,01:40.50
1150,28.12,01:40.51
1151,28.04,01:40.52
