sequence_number,score,value
403,85.69,01:34.02
404,85.65,01:34.03
405,85.62,01:34.04
406,85.58,01:34.05
407,85.54,01:34.06
408,85.50,01:34.07
409,85.46,01:34.08
410,85.42,01:34.09
411,85.38,01:34.10
412,85.35,01:34.11
413,85.31,01:34.12
414,85.27,01:34.13
415,85.23,01:34.14
416,85.19,01:34.15
417,85.15,01:34.16
418,85.12,01:34.17
419,85.08,01:34.18
420,85.04,01:34.19
421,85.00,01:34.20
422,84.96,01:34.21
423,84.92,01:34.22
424,84.88,01:34.23
425,84.84,01:34.24
426,84.80,01:34.25
427,84.76,01:34.26
428,84.72,01:34.27
429,84.68,01:34.28
430,84.64,01:34.29
431,84.60,01:34.30
432,84.56,01:34.31
433,84.52,01:34.32
434,84.48,01:34.33
435,84.44,01:34.34
436,84.40,01:34.35
437,84.37,01:34.36
438,84.33,01:34.37
439,84.29,01:34.38
440,84.25,01:34.39
441,84.21,01:34.40
442,84.17,01:34.41
443,84.13,01:34.42
444,84.09,01:34.43
445,84.05,01:34.44
446,84.01,01:34.45
447,83.97,01:34.46
448,83.93,01:34.47
449,83.89,01:34.48
450,83.85,01:34.49
451,83.81,01:34.50
452,83.77,01:34.51
453,83.73,01:34.52
454,83.69,01:34.53
455,83.65,01:34.54
456,83.61,01:34.55
457,83.57,01:34.56
458,83.53,01:34.57
459,83.49,01:34.58
460,83.45,01:34.59
461,83.41,01:34.60
462,83.37,01:34.61
463,83.33,01:34.62
464,83.29,01:34.63
465,83.25,01:34.64
466,83.21,01:34.65
467,83.17,01:34.66
468,83.13,01:34.67
469,83.10,01:34.68
470,83.06,01:34.69
471,83.02,01:34.70
472,82.98,01:34.71
473,82.94,01:34.72
474,82.90,01:34.73
475,82.86,01:34.74
476,82.82,01:34.75
477,82.78,01:34.76
478,82.74,01:34.77
479,82.70,01:34.78
480,82.66,01:34.79
481,82.62,01:34.80
482,82.58,01:34.81
483,82.54,01:34.82
484,82.50,01:34.83
485,82.46,01:34.84
486,82.42,01:34.85
487,82.38,01:34.86
488,82.34,01:34.87
489,82.30,01:34.88
490,82.26,01:34.89
491,82.22,01:34.90
492,82.18,01:34.91
493,82.14,01:34.92
494,82.10,01:34.93
495,82.06,01:34.94
496,82.02,01:34.95
497,81.98,01:34.96
498,81.94,01:34.97
499,81.90,01:34.98
500,81.85,01:34.99
501,81.81,01:35.00
502,81.77,01:35.01
503,81.73,01:35.02
504,81.69,01:35.03
505,70.79,01:37.56
506,70.74,01:37.57
507,70.69,01:37.58
508,70.65,01:37.59
509,70.60,01:37.60
510,70.56,01:37.61
511,70.51,01:37.62
512,70.46,01:37.63
513,70.42,01:37.64
514,70.37,01:37.65
515,70.32,01:37.66
516,70.28,01:37.67
517,70.23,01:37.68
518,70.19,01:37.69
519,70.14,01:37.70
520,70.09,01:37.71
521,70.05,01:37.72
522,70.00,01:37.73
523,69.95,01:37.74
524,69.90,01:37.75
525,69.86,01:37.76
526,69.81,01:37.77
527,69.76,01:37.78
