sequence_number,score,value
368,86.07,01:24.67
369,86.02,01:24.68
370,85.98,01:24.69
371,85.94,01:24.70
372,85.90,01:24.71
373,85.86,01:24.72
374,85.82,01:24.73
375,85.78,01:24.74
376,85.74,01:24.75
377,85.70,01:24.76
378,85.66,01:24.77
379,85.61,01:24.78
380,85.57,01:24.79
381,85.53,01:24.80
382,85.49,01:24.81
383,85.45,01:24.82
384,85.41,01:24.83
385,85.37,01:24.84
386,85.33,01:24.85
387,85.29,01:24.86
388,85.25,01:24.87
389,85.20,01:24.88
390,85.16,01:24.89
391,85.12,01:24.90
392,85.08,01:24.91
393,85.04,01:24.92
394,85.00,01:24.93
395,84.96,01:24.94
396,84.92,01:24.95
397,84.87,01:24.96
398,84.83,01:24.97
399,84.79,01:24.98
400,84.75,01:24.99
401,84.70,01:25.00
402,84.66,01:25.01
403,84.62,01:25.02
404,84.58,01:25.03
405,84.53,01:25.04
406,84.49,01:25.05
407,84.45,01:25.06
408,84.41,01:25.07
409,84.36,01:25.08
410,84.32,01:25.09
411,84.28,01:25.10
412,84.24,01:25.11
413,84.19,01:25.12
414,84.15,01:25.13
415,84.11,01:25.14
416,84.07,01:25.15
417,84.03,01:25.16
418,83.98,01:25.17
419,83.94,01:25.18
420,83.90,01:25.19
421,83.86,01:25.20
422,83.81,01:25.21
423,83.77,01:25.22
424,83.73,01:25.23
425,83.69,01:25.24
426,83.64,01:25.25
427,83.60,01:25.26
428,83.56,01:25.27
429,83.52,01:25.28
430,83.47,01:25.29
431,83.43,01:25.30
432,83.39,01:25.31
433,83.35,01:25.32
434,83.31,01:25.33
435,83.26,01:25.34
436,83.22,01:25.35
437,83.18,01:25.36
438,83.14,01:25.37
439,83.09,01:25.38
440,83.05,01:25.39
441,83.01,01:25.40
442,82.97,01:25.41
443,82.92,01:25.42
444,82.88,01:25.43
445,82.84,01:25.44
446,82.80,01:25.45
447,82.75,01:25.46
448,82.71,01:25.47
449,82.67,01:25.48
450,82.63,01:25.49
451,82.58,01:25.50
452,82.54,01:25.51
453,82.50,01:25.52
454,82.46,01:25.53
455,82.41,01:25.54
456,82.37,01:25.55
457,82.32,01:25.56
458,82.28,01:25.57
459,82.24,01:25.58
460,82.19,01:25.59
461,82.15,01:25.60
462,82.11,01:25.61
463,82.06,01:25.62
464,82.02,01:25.63
465,81.97,01:25.64
466,81.93,01:25.65
467,81.89,01:25.66
468,81.84,01:25.67
469,70.95,01:28.02
470,70.90,01:28.03
471,70.85,01:28.04
472,70.80,01:28.05
473,70.75,01:28.06
474,70.70,01:28.07
475,70.65,01:28.08
476,70.60,01:28.09
477,70.55,01:28.10
478,70.50,01:28.11
479,70.45,01:28.12
480,70.40,01:28.13
481,70.35,01:28.14
482,70.30,01:28.15
483,70.25,01:28.16
484,70.20,01:28.17
485,70.15,01:28.18
486,70.10,01:28.19
487,70.05,01:28.20
488,70.00,01:28.21
489,69.95,01:28.22
490,69.90,01:28.23
491,69.84,01:28.24
492,69.79,01:28.25
493,69.74,01:28.26
494,69.69,01:28.27
495,69.64,01:28.28
496,69.58,01:28.29
497,69.53,01:28.30
498,69.48,01:28.31
499,69.43,01:28.32
500,69.38,01:28.33
501,69.32,01:28.34
502,69.27,01:28.35
503,69.22,01:28.36
504,69.17,01:28.37
505,69.11,01:28.38
506,69.06,01:28.39
507,69.01,01:28.40
508,68.96,01:28.41
509,68.91,01:28.42
510,68.85,01:28.43
511,68.80,01:28.44
512,68.75,01:28.45
513,68.70,01:28.46
514,68.65,01:28.47
515,68.59,01:28.48
516,68.54,01:28.49
517,68.49,01:28.50
518,68.44,01:28.51
519,68.39,01:28.52
520,68.33,01:28.53
521,68.28,01:28.54
522,68.23,01:28.55
523,68.18,01:28.56
524,68.13,01:28.57
